input_len,target_len,task_source,idx
457,52,CoT,0
355,27,CoT,1
207,52,CoT,2
242,39,CoT,3
320,51,CoT,4
307,19,CoT,5
24,84,CoT,6
132,46,CoT,7
241,60,CoT,8
61,25,CoT,9
51,36,CoT,10
16,79,CoT,11
30,72,CoT,12
463,27,CoT,13
61,22,CoT,14
472,25,CoT,15
54,29,CoT,16
58,68,CoT,17
37,32,CoT,18
59,27,CoT,19
93,24,CoT,20
61,22,CoT,21
329,109,CoT,22
152,68,CoT,23
337,28,CoT,24
95,58,CoT,25
76,26,CoT,26
370,24,CoT,27
455,76,CoT,28
82,42,CoT,29
734,50,CoT,30
88,29,CoT,31
369,27,CoT,32
296,35,CoT,33
209,79,CoT,34
325,32,CoT,35
49,20,CoT,36
57,82,CoT,37
47,25,CoT,38
284,23,CoT,39
281,35,CoT,40
315,38,CoT,41
48,47,CoT,42
46,26,CoT,43
304,84,CoT,44
260,33,CoT,45
69,28,CoT,46
136,113,CoT,47
76,27,CoT,48
327,40,CoT,49
202,39,CoT,50
58,21,CoT,51
31,23,CoT,52
511,69,CoT,53
43,38,CoT,54
324,59,CoT,55
300,78,CoT,56
88,35,CoT,57
700,103,CoT,58
372,29,CoT,59
748,62,CoT,60
85,29,CoT,61
100,60,CoT,62
266,23,CoT,63
42,42,CoT,64
282,72,CoT,65
555,31,CoT,66
63,33,CoT,67
276,27,CoT,68
473,33,CoT,69
498,31,CoT,70
68,27,CoT,71
247,42,CoT,72
458,52,CoT,73
55,48,CoT,74
245,16,CoT,75
64,27,CoT,76
391,48,CoT,77
491,25,CoT,78
227,51,CoT,79
145,54,CoT,80
519,33,CoT,81
44,19,CoT,82
50,20,CoT,83
270,58,CoT,84
357,56,CoT,85
397,40,CoT,86
229,27,CoT,87
738,91,CoT,88
274,20,CoT,89
43,20,CoT,90
83,78,CoT,91
26,85,CoT,92
454,42,CoT,93
64,23,CoT,94
452,45,CoT,95
490,64,CoT,96
42,51,CoT,97
51,37,CoT,98
80,28,CoT,99
42,30,CoT,100
570,190,CoT,101
30,50,CoT,102
537,69,CoT,103
190,65,CoT,104
463,17,CoT,105
234,26,CoT,106
231,32,CoT,107
515,154,CoT,108
62,39,CoT,109
494,35,CoT,110
59,13,CoT,111
74,26,CoT,112
55,23,CoT,113
686,76,CoT,114
467,31,CoT,115
42,30,CoT,116
98,32,CoT,117
86,35,CoT,118
54,21,CoT,119
203,21,CoT,120
59,34,CoT,121
408,19,CoT,122
258,36,CoT,123
195,44,CoT,124
263,66,CoT,125
429,64,CoT,126
62,33,CoT,127
297,23,CoT,128
456,18,CoT,129
67,37,CoT,130
52,30,CoT,131
475,22,CoT,132
67,26,CoT,133
178,65,CoT,134
253,32,CoT,135
237,34,CoT,136
509,23,CoT,137
80,23,CoT,138
336,15,CoT,139
41,31,CoT,140
37,22,CoT,141
90,66,CoT,142
37,30,CoT,143
466,49,CoT,144
60,141,CoT,145
500,68,CoT,146
41,68,CoT,147
285,20,CoT,148
21,72,CoT,149
492,24,CoT,150
445,40,CoT,151
74,90,CoT,152
47,48,CoT,153
564,105,CoT,154
49,18,CoT,155
236,37,CoT,156
39,56,CoT,157
887,60,CoT,158
45,23,CoT,159
18,63,CoT,160
581,27,CoT,161
67,29,CoT,162
30,72,CoT,163
916,66,CoT,164
414,50,CoT,165
306,32,CoT,166
66,26,CoT,167
51,39,CoT,168
63,44,CoT,169
464,27,CoT,170
317,17,CoT,171
60,19,CoT,172
351,33,CoT,173
488,48,CoT,174
699,22,CoT,175
71,22,CoT,176
533,44,CoT,177
21,88,CoT,178
187,58,CoT,179
793,84,CoT,180
80,28,CoT,181
59,29,CoT,182
216,26,CoT,183
59,41,CoT,184
387,29,CoT,185
52,27,CoT,186
1097,41,CoT,187
35,56,CoT,188
20,42,CoT,189
426,26,CoT,190
28,35,CoT,191
66,25,CoT,192
260,39,CoT,193
265,40,CoT,194
22,178,CoT,195
316,27,CoT,196
65,25,CoT,197
51,32,CoT,198
153,11,CoT,199
57,19,CoT,200
273,15,CoT,201
456,47,CoT,202
83,49,CoT,203
53,22,CoT,204
235,32,CoT,205
49,35,CoT,206
67,49,CoT,207
35,32,CoT,208
67,23,CoT,209
485,23,CoT,210
242,64,CoT,211
66,38,CoT,212
56,23,CoT,213
54,25,CoT,214
53,21,CoT,215
361,34,CoT,216
79,33,CoT,217
78,23,CoT,218
276,35,CoT,219
