input_len,target_len,task_source,idx
36,31,CoT,0
69,18,CoT,1
45,57,CoT,2
42,19,CoT,3
68,24,CoT,4
21,68,CoT,5
70,21,CoT,6
52,19,CoT,7
90,36,CoT,8
59,30,CoT,9
116,65,CoT,10
61,23,CoT,11
51,74,CoT,12
67,53,CoT,13
78,29,CoT,14
61,23,CoT,15
1636,51,CoT,16
57,51,CoT,17
68,30,CoT,18
75,20,CoT,19
56,27,CoT,20
61,20,CoT,21
19,192,CoT,22
73,31,CoT,23
47,64,CoT,24
59,42,CoT,25
42,22,CoT,26
59,74,CoT,27
91,28,CoT,28
40,60,CoT,29
34,52,CoT,30
125,58,CoT,31
53,61,CoT,32
50,53,CoT,33
74,27,CoT,34
38,22,CoT,35
340,37,CoT,36
31,62,CoT,37
83,60,CoT,38
23,60,CoT,39
60,21,CoT,40
45,17,CoT,41
30,20,CoT,42
52,30,CoT,43
45,21,CoT,44
69,30,CoT,45
36,34,CoT,46
58,69,CoT,47
23,30,CoT,48
54,72,CoT,49
70,48,CoT,50
71,20,CoT,51
42,23,CoT,52
16,62,CoT,53
72,34,CoT,54
60,31,CoT,55
30,78,CoT,56
39,30,CoT,57
19,124,CoT,58
67,36,CoT,59
62,44,CoT,60
162,40,CoT,61
38,26,CoT,62
50,23,CoT,63
94,27,CoT,64
154,60,CoT,65
19,227,CoT,66
26,39,CoT,67
57,19,CoT,68
51,18,CoT,69
54,38,CoT,70
47,48,CoT,71
69,28,CoT,72
49,163,CoT,73
55,21,CoT,74
47,23,CoT,75
24,56,CoT,76
75,40,CoT,77
166,30,CoT,78
85,37,CoT,79
60,20,CoT,80
107,95,CoT,81
71,24,CoT,82
141,64,CoT,83
58,19,CoT,84
70,68,CoT,85
78,20,CoT,86
22,79,CoT,87
62,29,CoT,88
50,53,CoT,89
46,43,CoT,90
62,29,CoT,91
58,21,CoT,92
61,34,CoT,93
21,86,CoT,94
52,35,CoT,95
75,29,CoT,96
31,63,CoT,97
103,55,CoT,98
58,55,CoT,99
57,25,CoT,100
71,31,CoT,101
77,31,CoT,102
52,30,CoT,103
83,34,CoT,104
18,83,CoT,105
62,19,CoT,106
70,28,CoT,107
26,115,CoT,108
43,21,CoT,109
68,98,CoT,110
66,27,CoT,111
117,42,CoT,112
88,26,CoT,113
84,22,CoT,114
95,23,CoT,115
16,92,CoT,116
121,189,CoT,117
76,23,CoT,118
74,28,CoT,119
35,66,CoT,120
29,52,CoT,121
21,59,CoT,122
65,28,CoT,123
68,65,CoT,124
91,28,CoT,125
56,73,CoT,126
44,68,CoT,127
28,68,CoT,128
44,39,CoT,129
72,152,CoT,130
72,20,CoT,131
37,29,CoT,132
61,20,CoT,133
90,157,CoT,134
80,70,CoT,135
16,51,CoT,136
257,47,CoT,137
190,103,CoT,138
43,50,CoT,139
54,32,CoT,140
45,44,CoT,141
68,27,CoT,142
84,42,CoT,143
55,26,CoT,144
67,32,CoT,145
56,105,CoT,146
66,20,CoT,147
78,22,CoT,148
26,21,CoT,149
75,38,CoT,150
48,73,CoT,151
25,53,CoT,152
51,41,CoT,153
82,20,CoT,154
66,25,CoT,155
58,23,CoT,156
26,86,CoT,157
42,24,CoT,158
56,24,CoT,159
39,56,CoT,160
58,29,CoT,161
58,26,CoT,162
60,19,CoT,163
80,23,CoT,164
48,19,CoT,165
63,36,CoT,166
60,19,CoT,167
79,78,CoT,168
103,41,CoT,169
330,83,CoT,170
65,39,CoT,171
40,33,CoT,172
50,30,CoT,173
65,40,CoT,174
65,27,CoT,175
48,39,CoT,176
16,78,CoT,177
63,13,CoT,178
79,25,CoT,179
51,30,CoT,180
65,24,CoT,181
47,32,CoT,182
41,40,CoT,183
59,31,CoT,184
39,70,CoT,185
48,35,CoT,186
73,91,CoT,187
58,23,CoT,188
44,22,CoT,189
84,21,CoT,190
42,38,CoT,191
76,30,CoT,192
76,26,CoT,193
54,29,CoT,194
70,27,CoT,195
55,54,CoT,196
40,61,CoT,197
61,22,CoT,198
88,34,CoT,199
82,58,CoT,200
49,52,CoT,201
43,20,CoT,202
78,31,CoT,203
35,21,CoT,204
55,23,CoT,205
55,78,CoT,206
74,32,CoT,207
48,72,CoT,208
55,23,CoT,209
48,33,CoT,210
16,83,CoT,211
66,19,CoT,212
83,72,CoT,213
56,26,CoT,214
49,33,CoT,215
53,29,CoT,216
48,28,CoT,217
83,52,CoT,218
58,21,CoT,219
96,23,CoT,220
40,19,CoT,221
53,34,CoT,222
189,80,CoT,223
54,29,CoT,224
51,63,CoT,225
44,50,CoT,226
67,24,CoT,227
52,34,CoT,228
83,27,CoT,229
65,19,CoT,230
38,19,CoT,231
47,36,CoT,232
51,76,CoT,233
91,24,CoT,234
79,27,CoT,235
170,68,CoT,236
51,51,CoT,237
113,48,CoT,238
58,24,CoT,239
56,28,CoT,240
69,40,CoT,241
72,48,CoT,242
19,91,CoT,243
70,46,CoT,244
61,20,CoT,245
24,21,CoT,246
50,26,CoT,247
18,122,CoT,248
22,54,CoT,249
64,40,CoT,250
70,29,CoT,251
35,40,CoT,252
63,44,CoT,253
79,78,CoT,254
80,40,CoT,255
67,20,CoT,256
62,24,CoT,257
36,57,CoT,258
60,58,CoT,259
37,29,CoT,260
43,26,CoT,261
78,29,CoT,262
38,25,CoT,263
58,49,CoT,264
64,21,CoT,265
57,23,CoT,266
81,23,CoT,267
113,40,CoT,268
64,34,CoT,269
42,20,CoT,270
54,16,CoT,271
55,21,CoT,272
57,52,CoT,273
65,27,CoT,274
24,74,CoT,275
61,20,CoT,276
70,22,CoT,277
66,15,CoT,278
42,70,CoT,279
68,28,CoT,280
81,16,CoT,281
84,26,CoT,282
66,26,CoT,283
23,35,CoT,284
35,47,CoT,285
67,222,CoT,286
54,73,CoT,287
76,33,CoT,288
35,64,CoT,289
63,25,CoT,290
41,45,CoT,291
47,25,CoT,292
87,26,CoT,293
100,162,CoT,294
39,22,CoT,295
56,29,CoT,296
46,38,CoT,297
76,28,CoT,298
59,26,CoT,299
27,32,CoT,300
36,36,CoT,301
62,42,CoT,302
21,75,CoT,303
69,122,CoT,304
63,19,CoT,305
74,21,CoT,306
73,12,CoT,307
234,54,CoT,308
152,100,CoT,309
77,66,CoT,310
60,19,CoT,311
62,31,CoT,312
44,22,CoT,313
92,28,CoT,314
47,41,CoT,315
61,44,CoT,316
57,20,CoT,317
36,28,CoT,318
57,22,CoT,319
80,44,CoT,320
37,20,CoT,321
70,29,CoT,322
44,26,CoT,323
64,39,CoT,324
88,29,CoT,325
28,21,CoT,326
85,24,CoT,327
72,30,CoT,328
68,78,CoT,329
63,23,CoT,330
46,42,CoT,331
60,79,CoT,332
66,46,CoT,333
84,109,CoT,334
80,34,CoT,335
61,28,CoT,336
35,172,CoT,337
81,28,CoT,338
54,24,CoT,339
52,26,CoT,340
