input_len,target_len,task_source,idx
681,122,CoT,0
425,39,CoT,1
391,29,CoT,2
139,32,CoT,3
278,33,CoT,4
551,41,CoT,5
425,55,CoT,6
321,25,CoT,7
473,36,CoT,8
453,28,CoT,9
1166,265,CoT,10
412,56,CoT,11
469,36,CoT,12
528,26,CoT,13
499,18,CoT,14
437,23,CoT,15
354,43,CoT,16
442,29,CoT,17
549,33,CoT,18
337,18,CoT,19
1093,54,CoT,20
442,81,CoT,21
535,42,CoT,22
454,18,CoT,23
352,24,CoT,24
234,25,CoT,25
293,22,CoT,26
531,60,CoT,27
219,30,CoT,28
490,21,CoT,29
303,24,CoT,30
162,53,CoT,31
367,25,CoT,32
465,57,CoT,33
416,27,CoT,34
586,67,CoT,35
498,27,CoT,36
415,30,CoT,37
322,25,CoT,38
211,29,CoT,39
297,49,CoT,40
452,60,CoT,41
313,74,CoT,42
205,23,CoT,43
542,30,CoT,44
156,41,CoT,45
297,43,CoT,46
479,50,CoT,47
268,37,CoT,48
521,25,CoT,49
422,25,CoT,50
504,23,CoT,51
318,27,CoT,52
230,50,CoT,53
244,54,CoT,54
425,54,CoT,55
468,30,CoT,56
694,77,CoT,57
248,46,CoT,58
218,48,CoT,59
183,73,CoT,60
427,19,CoT,61
479,28,CoT,62
829,42,CoT,63
476,27,CoT,64
650,79,CoT,65
494,21,CoT,66
257,53,CoT,67
580,220,CoT,68
503,27,CoT,69
357,33,CoT,70
302,21,CoT,71
724,116,CoT,72
243,51,CoT,73
840,36,CoT,74
296,17,CoT,75
502,53,CoT,76
187,22,CoT,77
449,56,CoT,78
452,30,CoT,79
489,26,CoT,80
337,26,CoT,81
496,27,CoT,82
389,40,CoT,83
266,29,CoT,84
510,48,CoT,85
478,20,CoT,86
641,67,CoT,87
326,25,CoT,88
536,19,CoT,89
313,26,CoT,90
237,30,CoT,91
308,31,CoT,92
530,25,CoT,93
410,60,CoT,94
316,71,CoT,95
525,24,CoT,96
486,33,CoT,97
304,29,CoT,98
365,32,CoT,99
471,27,CoT,100
668,43,CoT,101
342,54,CoT,102
434,18,CoT,103
471,24,CoT,104
476,20,CoT,105
483,24,CoT,106
435,62,CoT,107
470,37,CoT,108
320,49,CoT,109
485,40,CoT,110
490,26,CoT,111
297,33,CoT,112
151,22,CoT,113
210,32,CoT,114
240,34,CoT,115
415,24,CoT,116
533,21,CoT,117
457,34,CoT,118
577,40,CoT,119
480,19,CoT,120
238,34,CoT,121
442,47,CoT,122
1142,58,CoT,123
551,69,CoT,124
496,27,CoT,125
365,26,CoT,126
318,21,CoT,127
318,47,CoT,128
256,21,CoT,129
291,15,CoT,130
340,42,CoT,131
765,127,CoT,132
359,108,CoT,133
496,63,CoT,134
609,137,CoT,135
358,17,CoT,136
747,65,CoT,137
487,33,CoT,138
460,31,CoT,139
263,89,CoT,140
314,26,CoT,141
334,34,CoT,142
557,92,CoT,143
484,70,CoT,144
559,29,CoT,145
500,27,CoT,146
290,25,CoT,147
499,25,CoT,148
406,41,CoT,149
1283,199,CoT,150
388,84,CoT,151
443,26,CoT,152
322,28,CoT,153
171,14,CoT,154
618,130,CoT,155
211,19,CoT,156
311,52,CoT,157
267,13,CoT,158
278,105,CoT,159
943,147,CoT,160
1235,48,CoT,161
352,26,CoT,162
258,31,CoT,163
478,61,CoT,164
467,31,CoT,165
655,42,CoT,166
438,40,CoT,167
491,21,CoT,168
312,13,CoT,169
205,37,CoT,170
447,20,CoT,171
240,35,CoT,172
505,36,CoT,173
247,30,CoT,174
427,44,CoT,175
454,25,CoT,176
510,20,CoT,177
450,27,CoT,178
459,20,CoT,179
713,49,CoT,180
184,35,CoT,181
501,63,CoT,182
262,26,CoT,183
559,22,CoT,184
262,44,CoT,185
434,78,CoT,186
265,28,CoT,187
614,70,CoT,188
223,27,CoT,189
421,20,CoT,190
462,57,CoT,191
329,32,CoT,192
221,27,CoT,193
154,46,CoT,194
587,53,CoT,195
415,23,CoT,196
509,31,CoT,197
275,27,CoT,198
169,80,CoT,199
326,14,CoT,200
231,45,CoT,201
310,63,CoT,202
337,29,CoT,203
464,37,CoT,204
517,24,CoT,205
198,17,CoT,206
907,65,CoT,207
193,54,CoT,208
265,66,CoT,209
169,34,CoT,210
1066,110,CoT,211
512,26,CoT,212
258,33,CoT,213
310,27,CoT,214
716,75,CoT,215
427,52,CoT,216
383,30,CoT,217
390,33,CoT,218
308,21,CoT,219
232,31,CoT,220
281,27,CoT,221
776,81,CoT,222
176,38,CoT,223
284,32,CoT,224
464,27,CoT,225
289,55,CoT,226
488,31,CoT,227
179,27,CoT,228
225,56,CoT,229
202,27,CoT,230
279,45,CoT,231
279,36,CoT,232
139,38,CoT,233
434,39,CoT,234
378,27,CoT,235
481,28,CoT,236
509,25,CoT,237
169,39,CoT,238
379,43,CoT,239
498,26,CoT,240
515,20,CoT,241
268,52,CoT,242
363,36,CoT,243
504,91,CoT,244
334,30,CoT,245
603,117,CoT,246
166,23,CoT,247
276,37,CoT,248
203,29,CoT,249
497,27,CoT,250
290,29,CoT,251
278,17,CoT,252
293,28,CoT,253
614,85,CoT,254
372,18,CoT,255
407,27,CoT,256
299,31,CoT,257
942,81,CoT,258
406,65,CoT,259
503,26,CoT,260
202,35,CoT,261
186,43,CoT,262
327,40,CoT,263
407,20,CoT,264
433,49,CoT,265
494,29,CoT,266
522,26,CoT,267
374,14,CoT,268
520,28,CoT,269
287,15,CoT,270
313,27,CoT,271
305,22,CoT,272
240,29,CoT,273
466,20,CoT,274
1121,128,CoT,275
255,39,CoT,276
164,47,CoT,277
478,42,CoT,278
488,24,CoT,279
238,67,CoT,280
860,454,CoT,281
382,37,CoT,282
474,62,CoT,283
251,73,CoT,284
309,79,CoT,285
285,51,CoT,286
353,39,CoT,287
295,55,CoT,288
258,19,CoT,289
458,31,CoT,290
349,12,CoT,291
231,33,CoT,292
717,82,CoT,293
116,60,CoT,294
1022,63,CoT,295
719,67,CoT,296
260,27,CoT,297
545,25,CoT,298
543,26,CoT,299
356,36,CoT,300
377,44,CoT,301
422,33,CoT,302
339,41,CoT,303
1171,101,CoT,304
487,31,CoT,305
367,32,CoT,306
802,45,CoT,307
187,54,CoT,308
317,46,CoT,309
453,27,CoT,310
365,63,CoT,311
233,38,CoT,312
274,30,CoT,313
307,42,CoT,314
260,64,CoT,315
275,45,CoT,316
241,28,CoT,317
323,80,CoT,318
224,22,CoT,319
1717,52,CoT,320
510,26,CoT,321
246,31,CoT,322
1038,126,CoT,323
378,43,CoT,324
444,35,CoT,325
450,22,CoT,326
299,31,CoT,327
230,33,CoT,328
389,32,CoT,329
475,37,CoT,330
454,27,CoT,331
1173,78,CoT,332
194,22,CoT,333
1156,47,CoT,334
297,20,CoT,335
317,25,CoT,336
513,31,CoT,337
216,40,CoT,338
343,32,CoT,339
291,28,CoT,340
444,30,CoT,341
261,24,CoT,342
1481,59,CoT,343
452,62,CoT,344
338,24,CoT,345
276,28,CoT,346
359,26,CoT,347
459,48,CoT,348
313,47,CoT,349
289,23,CoT,350
630,55,CoT,351
233,24,CoT,352
363,32,CoT,353
235,29,CoT,354
353,33,CoT,355
299,26,CoT,356
313,28,CoT,357
334,25,CoT,358
236,19,CoT,359
387,56,CoT,360
1095,58,CoT,361
551,24,CoT,362
319,38,CoT,363
510,27,CoT,364
480,29,CoT,365
712,53,CoT,366
203,53,CoT,367
487,28,CoT,368
540,34,CoT,369
225,55,CoT,370
268,25,CoT,371
317,27,CoT,372
235,30,CoT,373
215,28,CoT,374
218,41,CoT,375
438,26,CoT,376
689,57,CoT,377
571,27,CoT,378
589,313,CoT,379
178,27,CoT,380
311,19,CoT,381
438,28,CoT,382
312,32,CoT,383
482,19,CoT,384
514,23,CoT,385
475,27,CoT,386
300,21,CoT,387
374,32,CoT,388
794,142,CoT,389
469,22,CoT,390
206,36,CoT,391
445,60,CoT,392
220,20,CoT,393
304,24,CoT,394
501,24,CoT,395
166,72,CoT,396
1215,66,CoT,397
143,38,CoT,398
492,25,CoT,399
429,30,CoT,400
967,90,CoT,401
312,33,CoT,402
331,36,CoT,403
239,31,CoT,404
430,35,CoT,405
501,34,CoT,406
304,24,CoT,407
284,66,CoT,408
229,44,CoT,409
483,58,CoT,410
200,50,CoT,411
181,23,CoT,412
566,104,CoT,413
390,518,CoT,414
459,40,CoT,415
255,27,CoT,416
241,38,CoT,417
365,56,CoT,418
347,21,CoT,419
387,15,CoT,420
267,26,CoT,421
155,33,CoT,422
287,61,CoT,423
426,17,CoT,424
394,58,CoT,425
515,19,CoT,426
385,14,CoT,427
202,20,CoT,428
205,23,CoT,429
899,73,CoT,430
180,36,CoT,431
481,24,CoT,432
248,29,CoT,433
789,84,CoT,434
523,23,CoT,435
891,44,CoT,436
